sentence,num_tokens,num_characters,token_char_ratio
[''],0,1,0.0
"['1\tDurante as férias de verão, a minha família costuma viajar para o Algarve, onde passamos longas tardes na praia a apanhar sol e a nadar nas águas cristalinas do oceano Atlântico.']",47,1,47.0
"['2\tO professor de matemática explicou detalhadamente como resolver equações do segundo grau, mas mesmo assim alguns alunos continuaram com dificuldades em compreender a matéria.']",38,1,38.0
"['3\tA padaria da esquina, que existe há mais de cinquenta anos, é famosa pelos seus pastéis de nata deliciosos que atraem clientes de toda a cidade.']",37,1,37.0
"['4\tQuando chove intensamente em Lisboa, as ruas antigas do centro histórico tornam-se escorregadias e os turistas têm de caminhar com muito cuidado para não cair.']",40,1,40.0
['5\tO governo português anunciou ontem novas medidas económicas destinadas a apoiar as pequenas e médias empresas que foram afetadas pela crise dos últimos anos.'],31,1,31.0
"['6\tA avó preparou um jantar maravilhoso com bacalhau à Brás, arroz de tomate e uma sobremesa deliciosa que todos adoraram e repetiram.']",43,1,43.0
['7\tOs cientistas portugueses que trabalham na universidade desenvolveram uma investigação inovadora sobre energias renováveis que poderá revolucionar o setor energético nacional.'],40,1,40.0
"['8\tDurante o festival de música que decorreu no parque da cidade, milhares de pessoas reuniram-se para ouvir as suas bandas favoritas e desfrutar do ambiente festivo.']",41,1,41.0
"['9\tМинулого літа ми з друзями подорожували по Карпатах, де милувалися мальовничими краєвидами, відвідували старовинні церкви та куштували традиційні страви гуцульської кухні.']",62,1,62.0
"[""10\tУкраїнська мова має багату історію та унікальну мелодійність, яка відрізняє її від інших слов'янських мов і робить особливо красивою для літературних творів.""]",49,1,49.0
"['11\tКожного ранку бабуся прокидається рано, щоб приготувати смачний сніданок для всієї родини, включаючи домашні млинці з сметаною та варенням.']",46,1,46.0
"['12\tСтуденти київського університету активно беруть участь у наукових конференціях, де презентують свої дослідження та обмінюються досвідом з колегами з різних країн.']",42,1,42.0
"['13\tВосени українські ліси перетворюються на справжню казку, коли листя дерев набуває золотистих, червоних та оранжевих відтінків, створюючи неймовірно красиві пейзажі.']",60,1,60.0
"['14\tІсторія України сповнена драматичних подій, героїчних вчинків та культурних досягнень, які формували національну ідентичність протягом багатьох століть.']",42,1,42.0
"['15\tМолоді підприємці розробляють інноваційні стартапи в галузі інформаційних технологій, які здобувають визнання не лише в Україні, але й на міжнародному рівні.']",50,1,50.0
"['16\tПід час зимових свят українські родини збираються разом, щоб святкувати Різдво, готувати дванадцять страв та співати традиційні колядки біля святково прикрашеної ялинки.']",55,1,55.0
"['17\tМосковский метрополитен считается одним из самых красивых в мире благодаря своим роскошным станциям, украшенным мрамором, мозаикой и скульптурами, которые напоминают настоящие подземные дворцы.']",57,1,57.0
"['18\tРусская литература подарила миру множество великих писателей, чьи произведения переведены на десятки языков и продолжают волновать читателей спустя столетия после их создания.']",40,1,40.0
"['19\tЗимой в Сибири температура может опускаться до минус сорока градусов, что требует от жителей особой подготовки и теплой одежды для выживания в суровых климатических условиях.']",46,1,46.0
"['20\tБабушка каждое воскресенье печёт ароматные пироги с яблоками, капустой и мясом, наполняя весь дом уютным запахом домашней выпечки, который привлекает всех членов семьи на кухню.']",66,1,66.0
"['21\tСтуденты технического университета работают над сложными инженерными проектами, которые могут найти практическое применение в различных отраслях промышленности и способствовать технологическому прогрессу страны.']",45,1,45.0
"['22\tВо время белых ночей в Санкт-Петербурге солнце практически не заходит за горизонт, создавая удивительную атмосферу, когда можно гулять по городу и любоваться архитектурными шедеврами даже в полночь.']",59,1,59.0
"['23\tРусская кухня славится своими сытными и разнообразными блюдами, включая борщ, пельмени, блины и множество других традиционных кушаний, которые передаются из поколения в поколение.']",53,1,53.0
"['24\tКосмическая программа России имеет богатую историю достижений, начиная с запуска первого искусственного спутника Земли и заканчивая современными миссиями на Международную космическую станцию.']",49,1,49.0
"['25\tThe ancient library contained thousands of rare manuscripts and books that had been carefully preserved for centuries, attracting scholars and researchers from around the world who were eager to study these invaluable historical documents.']",42,1,42.0
"['26\tEvery morning, the bakery on the corner fills the entire neighborhood with the delicious aroma of freshly baked bread, croissants, and pastries, tempting everyone who walks by to stop and purchase something warm and delicious.']",54,1,54.0
"['27\tThe environmental scientists conducted extensive research on climate change and its effects on polar ice caps, collecting data that would help inform policy decisions and raise public awareness about this critical global issue.']",37,1,37.0
"['28\tDuring the summer festival, local musicians performed on multiple stages throughout the city park, creating a vibrant atmosphere where families could enjoy live music, food vendors, and various cultural activities together.']",40,1,40.0
"['29\tThe old fisherman told fascinating stories about his adventures at sea, describing storms he had weathered, unusual creatures he had encountered, and the profound sense of freedom he felt when sailing across the open ocean.']",49,1,49.0
"['30\tModern technology has revolutionized the way we communicate with each other, enabling instant connections across vast distances through smartphones, social media platforms, and video conferencing applications that were unimaginable just a few decades ago.']",48,1,48.0
"['31\tThe mountain trail wound through dense forests and across rocky outcrops, offering hikers breathtaking views of the valley below and requiring both physical endurance and careful navigation to reach the summit safely.']",45,1,45.0
"['32\tChildren at the elementary school participated enthusiastically in the science fair, presenting creative experiments and projects that demonstrated their curiosity about the natural world and their developing understanding of scientific principles.']",40,1,40.0
"['33\tDurante las vacaciones de verano, mi familia y yo viajamos por toda la costa mediterránea, visitando pueblos pintorescos, disfrutando de la deliciosa gastronomía local y pasando días enteros en playas de arena dorada bajo el sol brillante.']",62,1,62.0
"['34\tEl mercado tradicional del barrio antiguo se llena cada mañana de vendedores que ofrecen frutas frescas, verduras orgánicas, pescado recién capturado y una gran variedad de productos artesanales que reflejan la rica cultura culinaria de la región.']",57,1,57.0
"['35\tLos estudiantes universitarios organizaron una manifestación pacífica para exigir mejores condiciones educativas, más recursos para las bibliotecas y laboratorios, y políticas que garanticen el acceso equitativo a la educación superior para todos los sectores de la sociedad.']",57,1,57.0
"['36\tLa abuela pasaba horas en la cocina preparando recetas tradicionales que había aprendido de su propia madre, transmitiendo así conocimientos culinarios y tradiciones familiares a las nuevas generaciones con amor y paciencia.']",50,1,50.0
"['37\tEl arquitecto diseñó un edificio innovador que combina elementos modernos con técnicas de construcción sostenibles, utilizando materiales ecológicos y sistemas de energía renovable para minimizar el impacto ambiental del proyecto.']",46,1,46.0
"['38\tEn las tardes de otoño, cuando las hojas de los árboles cambian de color y el aire se vuelve más fresco, muchas personas disfrutan de largos paseos por los parques de la ciudad, contemplando la belleza de la naturaleza en transformación.']",55,1,55.0
"['39\tLos científicos descubrieron evidencia de una civilización antigua que había desarrollado sistemas avanzados de agricultura, arquitectura monumental y organizaciones sociales complejas mucho antes de lo que los historiadores habían imaginado previamente.']",44,1,44.0
"['40\tEl festival de cine internacional atrajo a cineastas, actores y críticos de todo el mundo, quienes se reunieron para celebrar el arte cinematográfico, compartir ideas creativas y descubrir nuevos talentos emergentes de diferentes culturas.']",52,1,52.0
